ts,sm_mhz,util,power_w,temp_c
2026/07/30 10:48:21.669, 2730, 61, 135.14, 47
2026/07/30 10:48:26.721, 2730, 46, 101.25, 46
2026/07/30 10:48:31.777, 2730, 25, 73.61, 44
2026/07/30 10:48:36.833, 2730, 54, 127.57, 49
2026/07/30 10:48:41.892, 2730, 55, 87.45, 45
2026/07/30 10:48:46.973, 2730, 50, 80.54, 45
2026/07/30 10:48:52.049, 2730, 50, 105.95, 46
2026/07/30 10:48:57.101, 2730, 1, 86.13, 45
2026/07/30 10:49:02.138, 2730, 4, 101.69, 44
2026/07/30 10:49:07.193, 2730, 40, 112.44, 46
2026/07/30 10:49:12.245, 2730, 47, 113.20, 46
2026/07/30 10:49:17.301, 2730, 9, 70.92, 44
2026/07/30 10:49:22.334, 2610, 4, 59.86, 43
2026/07/30 10:49:27.393, 2730, 9, 113.38, 46
2026/07/30 10:49:32.426, 2730, 0, 79.26, 43
2026/07/30 10:49:37.466, 2610, 0, 55.63, 43
2026/07/30 10:49:42.502, 2610, 0, 55.66, 42
2026/07/30 10:49:47.538, 2610, 0, 55.62, 42
2026/07/30 10:49:52.574, 2745, 5, 84.66, 43
2026/07/30 10:49:57.610, 2745, 6, 74.72, 43
2026/07/30 10:50:02.647, 2745, 32, 91.63, 44
2026/07/30 10:50:07.682, 2745, 32, 79.87, 44
2026/07/30 10:50:12.737, 2745, 4, 67.88, 43
2026/07/30 10:50:17.809, 2730, 56, 137.49, 47
2026/07/30 10:50:22.865, 2730, 51, 108.97, 45
2026/07/30 10:50:27.925, 2730, 48, 189.43, 47
2026/07/30 10:50:32.974, 2730, 50, 155.70, 49
2026/07/30 10:50:38.030, 2730, 68, 164.88, 51
2026/07/30 10:50:43.106, 2730, 64, 148.11, 49
2026/07/30 10:50:48.162, 2730, 63, 123.78, 48
2026/07/30 10:50:53.198, 2730, 30, 116.30, 46
2026/07/30 10:50:58.234, 2730, 20, 152.80, 47
2026/07/30 10:51:03.270, 2730, 5, 94.21, 45
2026/07/30 10:51:08.325, 2730, 65, 118.33, 48
2026/07/30 10:51:13.377, 2730, 50, 142.55, 49
2026/07/30 10:51:18.429, 2730, 59, 124.43, 50
2026/07/30 10:51:23.462, 2730, 8, 67.46, 44
2026/07/30 10:51:28.502, 2610, 11, 60.92, 44
2026/07/30 10:51:33.553, 2730, 19, 144.50, 47
2026/07/30 10:51:38.586, 2610, 0, 56.28, 43
2026/07/30 10:51:43.622, 2610, 0, 56.18, 43
2026/07/30 10:51:48.658, 2610, 0, 56.07, 43
2026/07/30 10:51:53.709, 2610, 61, 80.73, 47
2026/07/30 10:51:58.742, 2610, 0, 55.58, 42
2026/07/30 10:52:03.778, 2610, 0, 55.54, 42
2026/07/30 10:52:08.814, 2610, 0, 55.53, 42
2026/07/30 10:52:13.850, 2730, 1, 120.92, 43
2026/07/30 10:52:18.886, 2610, 0, 55.52, 42
2026/07/30 10:52:23.922, 2610, 0, 55.52, 42
